,,,
Unicode,character,name,Unicode 1.0 character names (deprecated)
code point,,,
U+0000,,<control>,NULL
U+0001,,<control>,START OF HEADING
U+0002,,<control>,START OF TEXT
U+0003,,<control>,END OF TEXT
U+0004,,<control>,END OF TRANSMISSION
U+0005,,<control>,ENQUIRY
U+0006,,<control>,ACKNOWLEDGE
U+0007,,<control>,BELL
U+0008,,<control>,BACKSPACE
U+0009,,<control>,CHARACTER TABULATION
U+000A,,<control>,LINE FEED (LF)
U+000B,,<control>,LINE TABULATION
U+000C,,<control>,FORM FEED (FF)
U+000D,,<control>,CARRIAGE RETURN (CR)
U+000E,,<control>,SHIFT OUT
U+000F,,<control>,SHIFT IN
U+0010,,<control>,DATA LINK ESCAPE
U+0011,,<control>,DEVICE CONTROL ONE
U+0012,,<control>,DEVICE CONTROL TWO
U+0013,,<control>,DEVICE CONTROL THREE
U+0014,,<control>,DEVICE CONTROL FOUR
U+0015,,<control>,NEGATIVE ACKNOWLEDGE
U+0016,,<control>,SYNCHRONOUS IDLE
U+0017,,<control>,END OF TRANSMISSION BLOCK
U+0018,,<control>,CANCEL
U+0019,,<control>,END OF MEDIUM
U+001A,,<control>,SUBSTITUTE
U+001B,,<control>,ESCAPE
U+001C,,<control>,INFORMATION SEPARATOR FOUR
U+001D,,<control>,INFORMATION SEPARATOR THREE
U+001E,,<control>,INFORMATION SEPARATOR TWO
U+001F,,<control>,INFORMATION SEPARATOR ONE
U+0020,,SPACE,
U+0021,!,EXCLAMATION MARK,
U+0022,"""",QUOTATION MARK,
U+0023,#,NUMBER SIGN,
U+0024,$,DOLLAR SIGN,
U+0025,%,PERCENT SIGN,
U+0026,&,AMPERSAND,
U+0027,',APOSTROPHE,APOSTROPHE-QUOTE
U+0028,(,LEFT PARENTHESIS,OPENING PARENTHESIS
U+0029,),RIGHT PARENTHESIS,CLOSING PARENTHESIS
U+002A,*,ASTERISK,
U+002B,+,PLUS SIGN,
U+002C,",",COMMA,
U+002D,-,HYPHEN-MINUS,
U+002E,.,FULL STOP,PERIOD
U+002F,/,SOLIDUS,SLASH
U+0030,0,DIGIT ZERO,
U+0031,1,DIGIT ONE,
U+0032,2,DIGIT TWO,
U+0033,3,DIGIT THREE,
U+0034,4,DIGIT FOUR,
U+0035,5,DIGIT FIVE,
U+0036,6,DIGIT SIX,
U+0037,7,DIGIT SEVEN,
U+0038,8,DIGIT EIGHT,
U+0039,9,DIGIT NINE,
U+003A,:,COLON,
U+003B,;,SEMICOLON,
